screenName,name,bio,followersCount,tweetsCount,friendsCount
kush3100,Blackhole,"XROS Fellow  || AI/ML intern @ST_World || AI/ML LEAD, GDSC GBU || Pytorch || AWS || Quantum ML ⚛️💻 || https://t.co/GpOVtFzGoI ||",126,3452,2292
HarshVasisht,Harsh,,93,49,943
sidd707888,Siddharth patel,We are here to help you in learning edge tools and technology and the various courses & certifications needed to master it.,0,0,47
CertiFiedBhavah,CertiFied Bhavah,Full Stack Dev | Blockchain enthusiast,4,5,48
bryson_gracias,BrysonGracias,✨,49,77,145
ice_war_yeah,Aiswarya Lakshmi S,Patent Professional,3,7,17
vishalkumar4156,vishal kumar,,29,512,136
_mohitparmar_,Mohit Parmar,"Excellence is not a Skill , It's an Attitude",9,20,29
Simran_Shk,Simran Shaikh,,1,1,21
56It2b,IT2B_56_Poorva SRIVASTAVA,"engineer
mechanical 
Hari om🙏🦁",5,0,110
janiDada6,jani Dada,🍁,102,2345,1011
Shafaithussain_,Shafait Hussain Shah,Born at a very young age..👨‍💼,9,2,19
KumarAn94709920,Ankit kumar,,64,44,3464
VEER41280794,Viral Rupani ðŸ‡®ðŸ‡³,Làm việc,9,64,65
caohanhvillas,Caohanh,I'm an expert in #Startup #BusinessFunding and I like to post #StartupTips.,26,109,428
AliciaMusSB,Alicia Musgrove,,652,845,4645
MdSaadA16931955,Md Saad Alam,Musician,2,2,41
Jeevansepic,Jeevan,"Just hold on.. everything will we fine.

CSE'26",2,0,21
darshi_akshat,Akshat Darshi,,17,86,454
HARIPRI70938822,HARIPRIYA,,1,0,27
shipkam,Nirbhay kamath,"💻Software engineer
▶️YouTuber (30k subscribers)
📊digital marketing
🖥️Website designing
📈SEO
🏫study Live in Kanpur 
🏘️Home in Etawah",340,468,3582
ASakhabat,Altmas sakhabat,,7,5,28
BhavikP26195527,Bhavik Patel,Problem Solver | Backend Developer | Open Source Contributor | Btech Student | Reader,15,259,630
garghimanshu47,Himanshu Garg,"A Technical Academician with soft touch of creative writing. I love to put my imaginations, emotions and thoughts into simple words to create a meaningful poem.",13,41,248
nirupam981,Nirupam,,6,27,44
Simmmmmmmm_,Simran Yadav,😇😇😇,1,3,41
apkt_18,No one,jai jinendra,28,2765,1265
call_meee_nee,jainlearner,,0,14,59
lifeisunfairbro,boT,தீதும் நன்றும் பிறர் தர வாரா.,4,33,144
nithish_522,Nithish,,5,3,58
girase_harshada,harshada girase,,0,0,44
Shyamks7788,Shyam K.S,"Syntactic sugar
Out_of_Context",0,1,77
mr__addy_0132,aad,,11,199,283
SanskarAsati11,Sanskar Asati,Beta MLSA @Microsoft || @Google DSC'22 Web Developer Team || Harvard WeCode'23 Scholar || Full stack web developer 💻 || #MSFTStudentAmbassadors,0,5,52
VANIMITTAL12,VANI MITTAL,,389,354,490
GaneshS30085289,Ganesh Sahu,"Codeable certified WordPress expert - Fullstack.
Building @zypento",0,7,76
srikanth_k_dev,Srikanth | MVP Builder,"Vidya Prasarak Mandal's
Polytechnic College, Thane,
Institution's Innovation Council",204,642,587
iic_vpm,VPM IIC,,15,42,9
